bee species,Rob start,Rob end,start now,end now
Agapostemon_sericeus,108,306,,
Agapostemon_splendens,121,301,,
Agapostemon_virescens,128,304,,
Andrena_andrenoides,79,156,,
Andrena_arabis,113,141,91,99
Andrena_carlini,91,160,76,127
Andrena_cressonii,80,164,94,143
Andrena_distans,121,144,116,131
Andrena_dunningi,94,154,,
Andrena_erigeniae,85,134,77,125
Andrena_erythrogaster,102,147,,
Andrena_erythronii,80,120,77,101
Andrena_forbesii,76,160,96,132
Andrena_geranii,123,170,105,142
Andrena_illini_sayi,100,142,94,125
Andrena_illinoensis,84,142,,
Andrena_imitatrix,100,164,89,109
Andrena_mandibularis,76,142,102,103
Andrena_mariae,84,137,,
Andrena_miserabilis,76,137,89,104
Andrena_nasonii,120,151,89,138
Andrena_nuda,76,164,124,125
Andrena_personata,122,162,103,143
Andrena_polemonii,104,140,113,114
Andrena_pruni,102,141,103,123
Andrena_rugosa,79,152,99,127
Andrena_salictaria,90,177,,
Andrena_violae,89,139,96,114
Anthophora_abrupta,127,210,,
Anthophora_terminalis,145,208,,
Anthophora_ursina,98,203,110,
Apis_mellifera,91,304,75,
Augochlora_pura,111,302,77,
Augochlorella_aurata,91,304,89,
Augochlorella_persimilis,124,304,,
Augochloropsis_fulgida_metallica,91,304,102,
Bombus_auricomus,111,297,,
Bombus_bimaculatus,111,274,89,
Bombus_griseocollis,108,298,132,
Bombus_impatiens,111,297,94,
Bombus_pensylvanicus,111,297,109,
Bombus_vagans,113,274,104,
Bombus_variabilis,118,304,,
Ceratina_calcarata_dupla,76,282,89,
Chelostoma_philadelphi,128,177,125,
Coelioxys_sayi,141,277,,
Colletes_inaequalis,79,151,81,107
Eucera_dubitata,115,138,105,143
Eucera_hamata,108,195,,
Eucera_rosae,138,171,,
Habropoda_laboriosa,94,114,,
Halictus_confusus,76,280,,
Halictus_ligatus,91,304,102,
Halictus_rubicundus,76,283,102,
Hoplitis_pilosifrons,123,207,,
Hoplitis_spoliata,141,194,,
Hylaeus_affinis,133,280,,
Hylaeus_brevicornis,111,278,,
Hylaeus_modestus,127,240,126,
Hylaeus_saniculae,135,168,,
Lasioglossum_albipenne,137,276,,
Lasioglossum_cinctipes,112,291,89,
Lasioglossum_coeruleum,100,135,91,142
Lasioglossum_coriaceum,110,282,102,
Lasioglossum_cressonii,76,202,91,
Lasioglossum_forbesii,92,302,,
Lasioglossum_foxii,92,263,90,
Lasioglossum_illinoense,115,307,,
Lasioglossum_imitatum,103,303,78,
Lasioglossum_laevissimum,80,289,,
Lasioglossum_macoupinense,112,291,102,
Lasioglossum_obscurum,110,308,96,
Lasioglossum_pectorale,106,304,,
Lasioglossum_pilosum,76,312,,
Lasioglossum_pruinosum,102,296,,
Lasioglossum_tegulare,111,298,109,
Lasioglossum_truncatum,116,225,,
Lasioglossum_versatum,102,307,89,
Lasioglossum_zephyrum,80,304,94,
Megachile_brevis,135,295,,
Megachile_mendica,136,284,,
Nomada_affabilis,107,179,,
Nomada_articulata,119,197,,
Nomada_cressonii,111,138,91,125
Nomada_cuneata,108,148,,
Nomada_dentariae,101,118,,
Nomada_denticulata,99,164,105,111
Nomada_hydrophylli,115,138,125,148
Nomada_illinoensis,94,153,,
Nomada_integerrima,107,144,,
Nomada_luteoloides,94,132,91,92
Nomada_obliterata,115,142,,
Nomada_ovata,102,144,,
Nomada_parva,126,149,109,146
Nomada_sayi,99,160,109,139
Nomada_superba,109,175,,
Osmia_atriventris,91,171,,
Osmia_bucephala,101,149,91,146
Osmia_collinsiae,84,129,,
Osmia_conjuncta,104,185,,
Osmia_cordata,124,158,,
Osmia_lignaria,97,153,,
Osmia_pumila,91,175,102,140
Osmia_simillima,127,163,,
Pseudopanurgus_parvus,148,296,,
Sphecodes_dichrous,102,229,,
Sphecodes_ranunculi,116,302,,
Sphecodes_smilacinae,120,223,,
Stelis_lateralis,129,171,,
